episode,v4_B16,v5_decision_B16,full_history_optimistic
1,3.72,3.64,3.64
2,4.25,4.01,4.39
3,4.626666666666667,4.126666666666667,4.76
4,4.915,4.445,5.015
5,5.0920000000000005,4.7,5.172
6,5.21,4.87,5.276666666666666
7,5.2942857142857145,4.991428571428571,5.351428571428571
8,5.3575,5.0825,5.4075
9,5.406666666666666,5.153333333333333,5.4511111111111115
10,5.446,5.21,5.486
11,5.478181818181818,5.256363636363637,5.514545454545455
12,5.505,5.295,5.538333333333333
13,5.527692307692307,5.327692307692308,5.558461538461539
14,5.547142857142857,5.355714285714286,5.575714285714286
15,5.563999999999999,5.38,5.5906666666666665
16,5.57875,5.40125,5.60375
17,5.581176470588235,5.45764705882353,5.634117647058823
18,5.613333333333333,5.507777777777778,5.673333333333334
19,5.6557894736842105,5.552631578947368,5.713684210526316
20,5.696,5.593,5.7509999999999994
21,5.732380952380952,5.62952380952381,5.784761904761905
22,5.765454545454546,5.662727272727273,5.815454545454545
23,5.7956521739130435,5.693043478260869,5.843478260869565
24,5.823333333333333,5.720833333333334,5.8691666666666675
25,5.8488,5.7463999999999995,5.892799999999999
26,5.872307692307692,5.7700000000000005,5.914615384615384
27,5.894074074074074,5.791851851851852,5.934814814814815
28,5.914285714285714,5.812142857142858,5.953571428571428
29,5.933103448275862,5.8310344827586205,5.97103448275862
30,5.950666666666667,5.848666666666667,5.987333333333334
31,5.967096774193548,5.865161290322581,6.002580645161291
32,5.9825,5.880625,6.016875
33,5.9769696969696975,5.875757575757576,6.010303030303031
34,5.971764705882353,5.871176470588235,6.004117647058823
35,5.966857142857143,5.8668571428571425,5.998285714285714
36,5.962222222222222,5.862777777777778,5.992777777777778
37,5.957837837837838,5.858918918918919,5.9875675675675675
38,5.953684210526316,5.855263157894737,5.982631578947369
39,5.94974358974359,5.851794871794872,5.977948717948718
40,5.946,5.8485,5.9735
41,5.942439024390244,5.845365853658537,5.969268292682927
42,5.939047619047619,5.842380952380952,5.965238095238095
43,5.935813953488372,5.83953488372093,5.9613953488372085
44,5.9327272727272735,5.836818181818182,5.957727272727272
45,5.929777777777777,5.834222222222222,5.9542222222222225
46,5.92695652173913,5.831739130434783,5.950869565217391
47,5.924255319148936,5.82936170212766,5.947659574468085
48,5.921666666666667,5.827083333333333,5.944583333333333
